sRNA	aCM_1	aCM_2
mmu_piR_036546_DQ724848	0	0
URS00003EBF34_GR_chr4_62224947_62224975_29_-	0	0
URS00004DC6F6_GR_chr4_62224948_62224975_28_-	0	0
mmu_piR_027008_DQ711020	0	0
URS00004E2414_GR_chr4_62224963_62224989_27_-	0	0
mmu_piR_005751_DQ557252	0	0
URS00005EED1D_GR_chr4_62224965_62224993_29_-	0	0
mmu_piR_014394_DQ692563	0	0
URS00005B41A5_GR_chr4_62224982_62225009_28_-	0	0
URS00003631DE_GR_chr4_62224984_62225009_26_-	0	0
URS00003B0E6D_GR_chr4_62224989_62225014_26_-	0	0
mmu_piR_023868_DQ706503	0	0
mmu_piR_001806_DQ544456	0	0
URS0000089BC7_GR_chr4_62224991_62225017_27_-	0	0
URS00000BFA88_GR_chr4_62224991_62225019_29_-	0	0
mmu_piR_006597_DQ561545	0	0
mmu_piR_007161_DQ562971	0	0
mmu_piR_000220_DQ540063	0	0
URS00000B1CAE_GR_chr4_62224995_62225025_31_-	0	0
URS0000187BBC_GR_chr4_62224996_62225025_30_-	0	0
URS00000CE21C_GR_chr4_62224997_62225023_27_-	0	0
URS000016244C_GR_chr4_62224997_62225025_29_-	0	0
URS00002EA195_GR_chr4_62224998_62225025_28_-	0	0
URS00004CA87F_GR_chr4_62224999_62225025_27_-	0	0
URS00000724DD_GR_chr4_62225000_62225025_26_-	0	0
URS00000DB812_GR_chr4_62225001_62225025_25_-	0	0
URS0000170455_GR_chr4_62225002_62225025_24_-	0	0
mmu_piR_021218_DQ702601	0	0
URS00004B345D_GR_chr4_62225003_62225030_28_-	0	0
mmu_piR_014520_DQ692751	0	0
mmu_piR_014369_DQ692526	0	0
URS000004F9DE_GR_chr4_62225058_62225083_26_-	0	0
URS00000A3B17_GR_chr4_62225069_62225096_28_-	0	0
URS000036E848_GR_chr4_62225069_62225097_29_-	0	0
mmu_piR_005534_DQ556660	0	0
URS0000494BC2_GR_chr4_62225138_62225167_30_-	0	0
URS00000DB726_GR_chr4_62225139_62225167_29_-	0	0
mmu_piR_012805_DQ690162	0	0
mmu_piR_017566_DQ697242	0	0
mmu_piR_029446_DQ714555	0	0
mmu_piR_029881_DQ715162	0	0
URS000001F5CF_GR_chr4_62225164_62225192_29_-	0	0
URS000050FC29_GR_chr4_62225166_62225192_27_-	0	0
mmu_piR_026655_DQ710533	0	0
URS00002C5DF3_GR_chr4_62225169_62225197_29_-	0	0
mmu_piR_030743_DQ716391	0	0
mmu_piR_032579_DQ719012	0	0
mmu_piR_028582_DQ713299	0	0
mmu_piR_018240_DQ698251	0	0
URS000006DF25_GR_chr4_62225425_62225450_26_-	0	0
mmu_piR_001870_DQ544616	0	0
mmu_piR_033808_DQ720882	0	0
mmu_piR_025548_DQ708908	0	0
URS000061D28B_GR_chr4_62225533_62225561_29_-	0	0
mmu_piR_002245_DQ545834	0	0
mmu_piR_010233_DQ686181	0	0
mmu_piR_038210_DQ727257	0	0
URS000036956B_GR_chr4_62225562_62225589_28_-	0	0
URS00005C52BB_GR_chr4_62225563_62225589_27_-	0	0
mmu_piR_021012_DQ702318	0	0
mmu_piR_015568_DQ694294	0	0
URS00004FD162_GR_chr4_62225586_62225614_29_-	0	0
mmu_piR_031678_DQ717718	0	0
URS000038BEAC_GR_chr4_62225628_62225657_30_-	0	0
URS0000457E28_GR_chr4_62225780_62225806_27_-	0	0
mmu_piR_016239_DQ695281	0	0
mmu_piR_024912_DQ707992	0	0
mmu_piR_004856_DQ554213	0	0
URS000054E1C8_GR_chr4_62225784_62225810_27_-	0	0
URS0000140E62_GR_chr4_62225785_62225810_26_-	0	0
mmu_piR_002805_DQ547730	0	0
URS000037047C_GR_chr4_62225798_62225826_29_-	0	0
mmu_piR_014400_DQ692579	0	0
mmu_piR_022957_DQ705142	0	0
URS00004B0BF4_GR_chr4_62225802_62225829_28_-	0	0
mmu_piR_002525_DQ546803	0	0
mmu_piR_023900_DQ706548	0	0
URS00005F128E_GR_chr4_62225816_62225844_29_-	0	0
URS000046FB72_GR_chr4_62225819_62225844_26_-	0	0
mmu_piR_026554_DQ710394	0	0
URS000014C3F7_GR_chr4_62225820_62225844_25_-	0	0
URS00000E615D_GR_chr4_62225820_62225848_29_-	0	0
mmu_piR_029583_DQ714749	0	0
URS000059D64B_GR_chr4_62225823_62225848_26_-	0	0
URS00002A1D2C_GR_chr4_62225824_62225848_25_-	0	0
mmu_piR_033507_DQ720435	0	0
URS00004D1DAB_GR_chr4_62225832_62225857_26_-	0	0
mmu_piR_005254_DQ555621	0	0
URS000044AB59_GR_chr4_62225833_62225860_28_-	0	0
mmu_piR_030593_DQ716177	0	0
mmu_piR_021373_DQ702820	0	0
mmu_piR_020223_DQ701178	0	0
URS0000178F84_GR_chr4_62225881_62225905_25_-	0	0
URS00004730C7_GR_chr4_62225881_62225910_30_-	0	0
URS0000092659_GR_chr4_62225882_62225907_26_-	0	0
mmu_piR_005323_DQ555792	0	0
URS00002FC505_GR_chr4_62225885_62225913_29_-	0	0
mmu_piR_010177_DQ686092	0	0
mmu_piR_008057_DQ566086	0	0
mmu_piR_037605_DQ726373	0	0
mmu_piR_030728_DQ716372	0	0
URS0000215A06_GR_chr4_62225950_62225979_30_-	0	0
URS0000114B1B_GR_chr4_62225951_62225977_27_-	0	0
URS00002516E9_GR_chr4_62225951_62225979_29_-	0	0
URS00001237D5_GR_chr4_62225952_62225979_28_-	0	0
URS0000164E91_GR_chr4_62225953_62225979_27_-	0	0
mmu_piR_030570_DQ716143	0	0
URS0000079BDC_GR_chr4_62225975_62226001_27_-	0	0
mmu_piR_018191_DQ698164	0	0
mmu_piR_022383_DQ704344	0	0
mmu_piR_006175_DQ558448	0	0
mmu_piR_006036_DQ558092	0	0
mmu_piR_002239_DQ545814	0	0
mmu_piR_012285_DQ689370	0	0
mmu_piR_000529_DQ540766	0	0
URS00005A3E1A_GR_chr4_62226118_62226147_30_-	0	0
mmu_piR_031538_DQ717523	0	0
mmu_piR_007736_DQ564947	0	0
URS000005C6C4_GR_chr4_62226133_62226161_29_-	0	0
URS000023E2A9_GR_chr4_62226134_62226161_28_-	0	0
mmu_piR_029382_DQ714475	0	0
URS0000296591_GR_chr4_62226135_62226161_27_-	0	0
mmu_piR_038295_DQ727384	0	0
URS00000D083D_GR_chr4_62226148_62226175_28_-	0	0
URS00002FA02E_GR_chr4_62226149_62226175_27_-	0	0
mmu_piR_019886_DQ700678	0	0
mmu_piR_012080_DQ689039	0	0
mmu_piR_033872_DQ720965	0	0
URS00005BA787_GR_chr4_62226198_62226225_28_-	0	0
mmu_piR_030199_DQ715630	0	0
mmu_piR_029336_DQ714411	0	0
URS00003E2F87_GR_chr4_62226202_62226231_30_-	0	0
mmu_piR_025603_DQ709001	0	0
URS000050DE24_GR_chr4_62226207_62226234_28_-	0	0
URS00000F9D75_GR_chr4_62226210_62226232_23_-	0	0
mmu_piR_023551_DQ706024	0	0
mmu_piR_009890_DQ685653	0	0
mmu_piR_016429_DQ695572	0	0
mmu_piR_001490_DQ543512	0	0
URS00002A2F1A_GR_chr4_62226229_62226253_25_-	0	0
mmu_piR_003631_DQ550435	0	0
URS000057DC07_GR_chr4_62226230_62226257_28_-	0	0
URS0000099D7E_GR_chr4_62226235_62226257_23_-	0	0
mmu_piR_013622_DQ691417	0	0
URS00000AC28E_GR_chr4_62226247_62226276_30_-	0	0
URS00000BA79A_GR_chr4_62226248_62226276_29_-	0	0
URS0000356610_GR_chr4_62226253_62226276_24_-	0	0
mmu_piR_003449_DQ549875	0	0
mmu_piR_007103_DQ562818	0	0
URS00004B5840_GR_chr4_62226337_62226362_26_-	0	0
URS0000527D16_GR_chr4_62226337_62226366_30_-	0	0
mmu_piR_027585_DQ711875	0	0
URS00005EE102_GR_chr4_62226339_62226362_24_-	0	0
URS0000553B1F_GR_chr4_62226340_62226366_27_-	0	0
URS00002D9003_GR_chr4_62226340_62226368_29_-	0	0
URS0000070B86_GR_chr4_62226341_62226366_26_-	0	0
mmu_piR_002827_DQ547780	0	0
mmu_piR_005839_DQ557551	0	0
URS00004EAC43_GR_chr4_62226417_62226443_27_-	0	0
URS00005A9EBD_GR_chr4_62226421_62226443_23_-	0	0
mmu_piR_028010_DQ712477	0	0
URS00002F2879_GR_chr4_62226428_62226454_27_-	0	0
mmu_piR_034377_DQ721696	0	0
mmu_piR_007285_DQ563409	0	0
URS00000E8FAC_GR_chr4_62226450_62226479_30_-	0	0
mmu_piR_006239_DQ560681	0	0
URS000040A1A2_GR_chr4_62226451_62226477_27_-	0	0
URS000018CEF3_GR_chr4_62226451_62226479_29_-	0	0
URS0000585969_GR_chr4_62226452_62226480_29_-	0	0
URS00003E73D0_GR_chr4_62226453_62226479_27_-	0	0
URS00003BCA55_GR_chr4_62226454_62226479_26_-	0	0
URS0000199A97_GR_chr4_62226455_62226479_25_-	0	0
URS0000248203_GR_chr4_62226491_62226518_28_-	0	0
mmu_piR_026260_DQ709970	0	0
URS00003B8257_GR_chr4_62226530_62226557_28_-	0	0
mmu_piR_011233_DQ687737	0	0
URS0000620AF1_GR_chr4_62226727_62226755_29_-	0	0
mmu_piR_037064_DQ725597	0	0.12
mmu_piR_034069_DQ721253	0	0
URS000048BB05_GR_chr4_62227406_62227435_30_-	0	0
mmu_piR_020477_DQ701540	0	0
mmu_piR_025700_DQ709136	0	0
mmu_piR_001600_DQ543786	0	0
mmu_piR_006567_DQ561424	0	0
URS000021A059_GR_chr4_62228229_62228255_27_-	0	0
URS0000517AA4_GR_chr4_62228232_62228259_28_-	0	0
URS00005C044F_GR_chr4_62228235_62228262_28_-	0	0
mmu_piR_008950_DQ568940	0	0
URS00002B2B4B_GR_chr4_62228238_62228266_29_-	0	0
mmu_piR_006360_DQ560970	0	0
URS00005A3996_GR_chr4_62228242_62228266_25_-	0	0
URS000027BB3E_GR_chr4_62228242_62228267_26_-	0	0
mmu_piR_027668_DQ711988	0	0
mmu_piR_034231_DQ721485	0	0
mmu_piR_001282_DQ542917	0	0
URS0000225A58_GR_chr4_62228308_62228335_28_-	0	0
mmu_piR_001742_DQ544304	0	0
URS000035FA33_GR_chr4_62228309_62228335_27_-	0	0
URS000013BEFA_GR_chr4_62228309_62228337_29_-	0	0
mmu_piR_001754_DQ544341	0	0
mmu_piR_002537_DQ546838	0	0
URS000036D6FB_GR_chr4_62228316_62228344_29_-	0	0
mmu_piR_030333_DQ715817	0	0
URS00004DD9D1_GR_chr4_62228326_62228351_26_-	0	0
mmu_piR_003905_DQ551156	0	0
mmu_piR_033289_DQ720104	0	0.04
URS000046F71E_GR_chr4_62228345_62228374_30_-	0	0.04
mmu_piR_021714_DQ703320	0	0.04
URS0000000DBE_GR_chr4_62228348_62228376_29_-	0	0.04
URS0000173B48_GR_chr4_62228349_62228379_31_-	0	0
mmu_piR_024176_DQ706958	0	0
URS0000234D49_GR_chr4_62228356_62228386_31_-	0	0
URS0000545ECD_GR_chr4_62228357_62228384_28_-	0	0
URS00002466CF_GR_chr4_62228359_62228386_28_-	0	0
mmu_piR_025285_DQ708535	0	0
URS0000067247_GR_chr4_62228370_62228396_27_-	0	0
URS00001E6A2C_GR_chr4_62228371_62228396_26_-	0	0
mmu_piR_036735_DQ725112	0	0
URS00004B9C38_GR_chr4_62228372_62228396_25_-	0	0
URS00000DD995_GR_chr4_62228398_62228427_30_-	0	0
URS000002D217_GR_chr4_62228406_62228433_28_-	0	0
mmu_piR_005832_DQ557514	0	0
mmu_piR_002676_DQ547306	0	0
URS00001BDCBF_GR_chr4_62228412_62228435_24_-	0	0
mmu_piR_002971_DQ548209	0	0
mmu_piR_009886_DQ685648	0	0
mmu_piR_036094_DQ724211	0	0
mmu_piR_010402_DQ686456	0	0
mmu_piR_025645_DQ709060	0	0
mmu_piR_024898_DQ707972	0	0
mmu_piR_030238_DQ715677	0	0
mmu_piR_027813_DQ712198	0	0
URS000045F833_GR_chr4_62231123_62231152_30_+	0	0
mmu_piR_023396_DQ705797	0	0.05
URS000032B5EF_GR_chr4_62231135_62231160_26_+	0	0.05
URS000058BB28_GR_chr4_62231135_62231161_27_+	0	0.05
mmu_piR_017368_DQ696944	0	0.05
mmu_piR_013471_DQ691180	0	0
mmu_piR_033283_DQ720093	0	0
URS0000012571_GR_chr4_62234576_62234604_29_+	0	0
URS00005980AE_GR_chr4_62234650_62234677_28_+	0	0
URS00004ADD86_GR_chr4_62234968_62234998_31_+	0	0
URS00002D4F34_GR_chr4_62236388_62236414_27_+	0	0
mmu_piR_009832_DQ685558	0	0
URS00001751B1_GR_chr4_62237358_62237389_32_+	0	0
URS0000133F57_GR_chr4_62237358_62237390_33_+	0	0
URS00004F6CA5_GR_chr4_62237358_62237391_34_+	0	0
URS000007D0B8_GR_chr4_62237359_62237390_32_+	0	0
URS000041C3B8_GR_chr4_62237359_62237391_33_+	0	0
URS0000329EA2_GR_chr4_62237359_62237392_34_+	0	0
URS0000243E7E_GR_chr4_62237363_62237391_29_+	0	0
URS000055C9C8_GR_chr4_62237363_62237392_30_+	0	0
mmu_piR_006900_DQ562246	0	0
URS00003FD072_GR_chr4_62237363_62237396_34_+	0	0
URS000044942C_GR_chr4_62237363_62237397_35_+	0	0
URS0000536F5D_GR_chr4_62237364_62237396_33_+	0	0
URS00005DE9A1_GR_chr4_62237364_62237397_34_+	0	0
mmu_piR_029643_DQ714827	0	0
mmu_piR_015097_DQ693591	0	0
URS00003624AF_GR_chr4_62237916_62237944_29_+	0	0
mmu_piR_009713_DQ685356	0	0
URS000059F6E5_GR_chr4_62238232_62238257_26_+	0	0
mmu_piR_020728_DQ701925	0	0
URS000053F1CF_GR_chr4_62238406_62238434_29_+	0	0
mmu_piR_021897_DQ703594	0	0
mmu_piR_017993_DQ697851	0	0
mmu_piR_016270_DQ695335	0	0
mmu_piR_003254_DQ549260	0	0
mmu_piR_032504_DQ718901	0	0
mmu_piR_022464_DQ704465	0	0
URS000008C7B5_GR_chr4_62238887_62238916_30_+	0	0
mmu_piR_017238_DQ696765	0	0
URS00000A2647_GR_chr4_62238966_62238992_27_+	0	0
mmu_piR_010181_DQ686100	0	0
URS00006D7393_GR_chr4_62276145_62276202_58_+	0	0
mmu_piR_011330_DQ687889	0	0
mmu_piR_022293_DQ704202	0	0
URS00000FAB73_GR_chr4_62437492_62437565_74_-	0.08	0
URS000040F8D9_GR_chr4_62438797_62438823_27_+	0	0
URS000009C552_GR_chr4_62438799_62438826_28_+	0	0
mmu_piR_035620_DQ723502	0	0
mmu_piR_018001_DQ697861	0	0
URS000037E465_GR_chr4_62483341_62483412_72_-	0	0
mmu_piR_003106_DQ548713	0	0
URS0000646E1F_GR_chr4_62514653_62514726_74_-	0	0
mmu_piR_036299_DQ724499	0	0
mmu_piR_010523_DQ686654	0	0
mmu_piR_002342_DQ546162	0	0
URS000018FC89_GR_chr4_62573928_62573963_36_-	0	0
URS00004BA9DC_GR_chr4_63131853_63131926_74_-	0	0
URS0000487A48_GR_chr4_63131855_63131930_76_-	0	0
URS000023835D_GR_chr4_63133203_63133224_22_+	0	0
URS000003C4F4_GR_chr4_63135171_63135195_25_+	0	0
URS00003349EB_GR_chr4_63135388_63135407_20_+	0	0
URS000054F6AE_GR_chr4_63135837_63135862_26_+	0	0
URS0000432F43_GR_chr4_63136384_63136409_26_+	0	0
URS000028BB09_GR_chr4_63137116_63137141_26_+	0	0
URS000013A92B_GR_chr4_63137160_63137178_19_+	0	0
URS000075CEE5_GR_chr4_63256851_63256932_82_+	42.76	33.34
URS00006D63A0_GR_chr4_63256852_63256936_85_+	42.76	33.34
URS0000EFD19B_GR_chr4_63256866_63256923_58_+	18.76	24
URS00000AD002_GR_chr4_63256867_63256888_22_+	13.38	16.5
URS00003FBDDF_GR_chr4_63256902_63256921_20_+	0.06	0.17
URS0000EFEAA4_GR_chr4_63256902_63256923_22_+	2.72	1
URS000033C95A_GR_chr4_63256904_63256924_21_+	10.39	3.92
mmu_piR_033709_DQ720728	0	0
URS00006C4B2E_GR_chr4_63918617_63918689_73_-	0.06	0
URS00003BCCBB_GR_chr4_64195490_64195538_49_+	0	0
URS00005A9D53_GR_chr4_67409516_67409541_26_+	0	0
URS0000A7ACFA_GR_chr4_67633153_67633229_77_+	0	0
URS00002994F6_GR_chr4_68284243_68284289_47_+	0	0.03
URS0000624033_GR_chr4_68331480_68331548_69_+	1.35	0.92
URS00001AE35A_GR_chr4_68476281_68476328_48_-	0	0
URS00002A3175_GR_chr4_68476283_68476331_49_-	0	0
URS0000591434_GR_chr4_68476284_68476331_48_-	0	0
URS00004AED77_GR_chr4_72641592_72641640_49_-	0	0
URS00003886F2_GR_chr4_72748618_72748647_30_-	0	0
URS00003BCCBB_GR_chr4_73210979_73211020_42_+	0	0
URS00001148ED_GR_chr4_74191493_74191538_46_-	0	0
URS0000670570_GR_chr4_74383506_74383595_90_-	0	0
mmu_piR_024629_DQ707608	0.08	0.35
URS0000729475_GR_chr4_75246560_75246644_85_+	0	0
URS00001FF64F_GR_chr4_76941166_76941185_20_-	0	0
URS0000A98601_GR_chr4_76958422_76958498_77_-	0	0
URS000031DD95_GR_chr4_77304749_77304778_30_+	0	0
URS0000555C43_GR_chr4_77310126_77310154_29_-	0	0
URS000001D01A_GR_chr4_78084149_78084203_55_-	0	0
URS0000487A48_GR_chr4_78166569_78166644_76_+	0	0
URS00000DD4E3_GR_chr4_78166573_78166646_74_+	0	0
URS0000024CD5_GR_chr4_78512380_78512407_28_-	0	0
URS000067A72C_GR_chr4_78670147_78670232_86_+	2.57	6.85
URS0000367828_GR_chr4_78849767_78849788_22_+	0	0
URS00004F6547_GR_chr4_78850688_78850707_20_+	0	0
URS0000236683_GR_chr4_78851187_78851207_21_+	0	0
URS00001D2382_GR_chr4_78934078_78934104_27_-	0	0
URS00003D7A35_GR_chr4_80003914_80003982_69_-	11428.61	20178.05
URS00001E3044_GR_chr4_80003915_80003983_69_-	12125.95	21081.52
URS0000346495_GR_chr4_80003915_80003983_69_+	12125.95	21081.52
URS000039BE50_GR_chr4_80003920_80003950_31_-	2146.2	3932.1
mmu_piR_032901_DQ719488	476.33	1127.86
URS000059BAB4_GR_chr4_80005133_80005199_67_+	3665.73	6125.75
URS000042D7FC_GR_chr4_80826516_80826556_41_+	0	0
URS0000A9C488_GR_chr4_80967444_80967539_96_+	0	0
URS0000575E7D_GR_chr4_82673257_82673287_31_-	0	0
mmu_piR_011367_DQ687946	0	0
URS000072423F_GR_chr4_84830187_84830249_63_-	0	0
URS0000570745_GR_chr4_85274104_85274144_41_-	0	0
URS0000A86FB3_GR_chr4_86509152_86509225_74_+	0	0
URS0000083B08_GR_chr4_86622947_86623019_73_-	0	0
URS00001A5F9F_GR_chr4_86970425_86970517_93_+	0	0
URS0000227BAB_GR_chr4_86970429_86970501_73_+	0	0
URS000061488A_GR_chr4_87129511_87129537_27_-	0	0
URS00004F581B_GR_chr4_87365500_87365535_36_+	0	0
URS0000A9D3AE_GR_chr4_87432272_87432336_65_+	0	0
URS0000219693_GR_chr4_87582983_87583008_26_+	1	0
URS00003B9AC9_GR_chr4_87688156_87688191_36_+	0	0
URS00006463E1_GR_chr4_87887924_87887979_56_-	0	0
URS00006CF24C_GR_chr4_87923718_87923790_73_+	0	0
URS000075A67B_GR_chr4_88122040_88122125_86_+	1.47	2.65
URS0000628B8E_GR_chr4_88122042_88122125_84_+	1.47	2.65
URS0000EFD678_GR_chr4_88122056_88122112_57_+	1.3	2.65
URS00001919B0_GR_chr4_88122057_88122078_22_+	0	1
URS00002391F4_GR_chr4_88122057_88122079_23_+	0.8	2.4
URS0000202B65_GR_chr4_88122091_88122112_22_+	0.5	0.25
URS0000197B5F_GR_chr4_88191832_88191856_25_-	0	0
URS00000AF1DB_GR_chr4_88191832_88191860_29_-	0	0
URS00003678A6_GR_chr4_88191834_88191860_27_-	0	0
URS0000015C7C_GR_chr4_88256011_88256040_30_+	0	0
URS00006E02F0_GR_chr4_88910570_88910648_79_-	351.93	248.88
URS0000EFD2E3_GR_chr4_88910576_88910635_60_-	351.18	248.38
URS00002B9AD0_GR_chr4_88910577_88910599_23_-	0.5	2
URS00002A291B_GR_chr4_88910578_88910599_22_-	0	0.75
URS00007E37C8_GR_chr4_88910613_88910635_23_-	346.68	242.38
URS00000DE5AF_GR_chr4_88910614_88910635_22_-	254.29	183.38
URS00004CD8C2_GR_chr4_89766149_89766196_48_-	0	0
URS00005263D9_GR_chr4_90367450_90367482_33_-	0	0
URS0000591434_GR_chr4_90517429_90517474_46_+	0	0
URS00002A3175_GR_chr4_90517429_90517475_47_+	0	0
URS0000317F4E_GR_chr4_90517430_90517474_45_+	0	0
URS00001AE35A_GR_chr4_90517432_90517477_46_+	0	0
URS000075BBCC_GR_chr4_91373284_91373363_80_-	0	0
URS000075ED4C_GR_chr4_91373285_91373307_23_-	0	0
URS00001AE35A_GR_chr4_91642255_91642302_48_+	0	0
URS000017C7A9_GR_chr4_91756294_91756322_29_-	0	0
URS000027F90A_GR_chr4_92804626_92804650_25_-	0.03	0
URS0000525728_GR_chr4_93354676_93354759_84_-	0	0
URS0000271F50_GR_chr4_93722390_93722426_37_+	0	0
URS000002D7C5_GR_chr4_93750811_93750858_48_+	0	0
URS00006BCC12_GR_chr4_93927693_93927765_73_+	0	0
URS00000406F1_GR_chr4_94262526_94262563_38_-	0	0
mmu_piR_022438_DQ704427	0	0
mmu_piR_018951_DQ699294	0	0
mmu_piR_029911_DQ715210	0	0
mmu_piR_031717_DQ717769	0	0
mmu_piR_000803_DQ541471	0	0
mmu_piR_019720_DQ700419	0	0
mmu_piR_013645_DQ691447	0	0
mmu_piR_016572_DQ695783	0	0
mmu_piR_029591_DQ714760	0	0
mmu_piR_026419_DQ710199	0	0
mmu_piR_034404_DQ721738	0	0
URS00004C7516_GR_chr4_94281102_94281126_25_-	0	0
mmu_piR_026325_DQ710064	0	0
URS00002C12FA_GR_chr4_94281503_94281528_26_-	0	0
URS0000533302_GR_chr4_94281505_94281528_24_-	0	0
mmu_piR_005541_DQ556682	0	0
mmu_piR_032422_DQ718780	0	0
mmu_piR_013595_DQ691380	0	0
mmu_piR_007164_DQ562994	0	0
URS000051167C_GR_chr4_94281739_94281764_26_-	0	0
URS0000608676_GR_chr4_94281739_94281766_28_-	0	0
URS000054531F_GR_chr4_94281799_94281827_29_-	0	0.01
mmu_piR_012098_DQ689072	0	0.01
mmu_piR_024214_DQ707012	0	0.01
mmu_piR_011431_DQ688039	0	0
mmu_piR_008066_DQ566111	0	0
URS00005F6177_GR_chr4_94281888_94281914_27_-	0	0
URS0000082D9A_GR_chr4_94281888_94281916_29_-	0	0
mmu_piR_007697_DQ564817	0	0
mmu_piR_027802_DQ712185	0	0
mmu_piR_017387_DQ696971	0	0
mmu_piR_024060_DQ706784	0	0.05
mmu_piR_002503_DQ546747	0	0
URS0000031CB6_GR_chr4_94282251_94282278_28_-	0	0
mmu_piR_018009_DQ697870	0	0
URS0000558224_GR_chr4_94282287_94282315_29_-	0	0
URS000036322B_GR_chr4_94282288_94282315_28_-	0	0
URS000012F8DA_GR_chr4_94282300_94282328_29_-	0	0
URS000050769A_GR_chr4_94282333_94282362_30_-	0	0
mmu_piR_007218_DQ563195	0	0
URS00004EB977_GR_chr4_94282338_94282362_25_-	0	0
mmu_piR_009288_DQ569867	0	0
URS000047F1F1_GR_chr4_94282352_94282379_28_-	0	0
mmu_piR_008635_DQ568048	0	0
URS000015BA2F_GR_chr4_94282353_94282381_29_-	0	0
mmu_piR_001766_DQ544361	0	0
mmu_piR_015487_DQ694175	0	0
mmu_piR_011495_DQ688137	0	0
mmu_piR_008775_DQ568423	0	0
mmu_piR_005209_DQ555412	0	0
mmu_piR_005634_DQ556963	0	0
URS0000162F42_GR_chr4_94282550_94282576_27_-	0	0
mmu_piR_007614_DQ564532	0	0
URS000030CABF_GR_chr4_94282557_94282584_28_-	0	0
mmu_piR_006261_DQ560744	0	0
URS0000203315_GR_chr4_94282558_94282585_28_-	0	0
mmu_piR_037541_DQ726285	0	0
mmu_piR_010661_DQ686866	0	0
mmu_piR_011747_DQ688507	0	0
URS0000279046_GR_chr4_94282608_94282636_29_-	0	0
mmu_piR_008490_DQ567630	0	0
mmu_piR_033768_DQ720814	0	0
URS000036F150_GR_chr4_94282624_94282652_29_-	0	0
mmu_piR_008685_DQ568168	0	0
mmu_piR_008582_DQ567898	0	0
mmu_piR_019311_DQ699817	0	0
mmu_piR_010037_DQ685881	0	0
URS000052D308_GR_chr4_94282681_94282708_28_-	0	0
mmu_piR_002373_DQ546304	0	0
URS00005AA15C_GR_chr4_94282720_94282748_29_-	0	0
mmu_piR_002587_DQ546999	0	0
mmu_piR_007056_DQ562728	0	0
URS0000275CB1_GR_chr4_94282723_94282748_26_-	0	0
mmu_piR_020990_DQ702285	0	0
mmu_piR_019323_DQ699837	0	0
mmu_piR_014312_DQ692451	0	0
URS000059133F_GR_chr4_94282799_94282827_29_-	0	0
URS00001F4569_GR_chr4_94282802_94282827_26_-	0	0
mmu_piR_028780_DQ713586	0	0
URS000054800C_GR_chr4_94282835_94282865_31_-	0	0
mmu_piR_007782_DQ565098	0	0
URS0000052FC0_GR_chr4_94282837_94282865_29_-	0	0
mmu_piR_007603_DQ564494	0	0
mmu_piR_022330_DQ704263	0	0
URS000059FCF2_GR_chr4_94282863_94282892_30_-	0	0
mmu_piR_006868_DQ562145	0	0
mmu_piR_035714_DQ723665	0	0
mmu_piR_004048_DQ551468	0	0
mmu_piR_002192_DQ545617	0	0
URS00000FCBE0_GR_chr4_94282922_94282947_26_-	0	0
mmu_piR_008351_DQ567143	0	0
mmu_piR_014496_DQ692712	0	0
mmu_piR_001203_DQ542666	0	0
mmu_piR_003088_DQ548623	0	0
mmu_piR_029605_DQ714782	0	0
URS00000409F7_GR_chr4_94283194_94283219_26_-	0	0
mmu_piR_007408_DQ563827	0	0
mmu_piR_031336_DQ717223	0	0
URS000007CB63_GR_chr4_94283301_94283328_28_-	0	0
mmu_piR_027753_DQ712115	0	0
mmu_piR_031895_DQ718005	0	0
mmu_piR_029487_DQ714609	0	0
mmu_piR_009646_DQ685243	0	0
mmu_piR_018136_DQ698075	0	0
mmu_piR_024259_DQ707071	0	0
URS00001B9B3E_GR_chr4_94283896_94283926_31_-	0	0
mmu_piR_030154_DQ715564	0	0
mmu_piR_005048_DQ554937	0	0
URS000003F214_GR_chr4_94284005_94284033_29_-	0	0
mmu_piR_001993_DQ544885	0	0
mmu_piR_009754_DQ685420	0	0
mmu_piR_029245_DQ714273	0	0
URS000000B2C9_GR_chr4_94284043_94284071_29_-	0	0
URS0000403FF6_GR_chr4_94284106_94284135_30_-	0	0
mmu_piR_004096_DQ551676	0	0
mmu_piR_020592_DQ701714	0.22	0.16
mmu_piR_028083_DQ712593	0	0
mmu_piR_001347_DQ543178	0	0
mmu_piR_031872_DQ717977	0	0
URS000016994B_GR_chr4_94284271_94284299_29_-	0	0
mmu_piR_024211_DQ707007	0	0
mmu_piR_036230_DQ724399	0	0
mmu_piR_005868_DQ557668	0.15	0.13
mmu_piR_010330_DQ686337	0	0
mmu_piR_036457_DQ724725	0	0
mmu_piR_023491_DQ705929	0	0
URS00000E233E_GR_chr4_94284528_94284557_30_-	0	0
mmu_piR_015474_DQ694155	0	0
mmu_piR_005529_DQ556648	0	0
mmu_piR_033965_DQ721103	0	0
mmu_piR_005058_DQ554964	0	0
mmu_piR_002665_DQ547248	0	0
mmu_piR_019204_DQ699663	0	0
mmu_piR_023710_DQ706278	0	0
mmu_piR_013688_DQ691511	0	0
mmu_piR_008406_DQ567307	0	0
mmu_piR_015239_DQ693797	0	0
URS0000424E95_GR_chr4_94285181_94285209_29_-	0	0
mmu_piR_023282_DQ705622	0	0
mmu_piR_011173_DQ687639	0	0
