smallRNA_id	logFC_tumor_vs_normal_FC	P.Value_tumor_vs_normal_FC	adj.P.Val_tumor_vs_normal_FC	logFC_tumor_vs_normal_salmon	P.Value_tumor_vs_normal_salmon	adj.P.Val_tumor_vs_normal_salmon	gene_type
URS000015A6F8_GR_chr16_3184133_3184206_74_-	0.857755045	0.11087118	0.197650351	NA	NA	NA	tRNA
URS0000521091_GR_chr16_3184135_3184206_72_-	0.857120166	0.111191096	0.197856732	NA	NA	NA	tRNA
URS000071DF37_GR_chr6_27553413_27553494_82_-	0.53066689	0.111226919	0.197856732	NA	NA	NA	tRNA
URS00003E2EF2_GR_chr13_91350606_91350687_82_+	0.603572401	0.111521466	0.198166916	-0.369735709	0.261010826	0.37881954	precursor_RNA
URS0000605E00_GR_chr1_198858925_198858947_23_-	0.650578258	0.111862423	0.198558812	NA	NA	NA	miRNA
URS00002A6C58_GR_chr1_629500_629571_72_-	-0.574644784	0.114272902	0.202619372	NA	NA	NA	tRNA
URS0000EC8040_GR_chr1_629501_629570_70_-	-0.57351513	0.114891495	0.203123721	-1.379685379	0.411212342	0.535340817	tRNA
URS000043D1A9_GR_chr6_71403595_71403616_22_-	-1.050592347	0.114920698	0.203123721	NA	NA	NA	miRNA
URS00002E0A2C_GR_chr1_92837289_92837383_95_+	-0.498580449	0.114926884	0.203123721	-0.520908767	0.072098672	0.147637381	snoRNA
URS000077962E_GR_chr1_629500_629570_71_-	-0.573051287	0.115204979	0.203397228	NA	NA	NA	tRNA
URS00005FDE70_GR_chr16_67202327_67202348_22_-	-0.591639915	0.116398994	0.205196305	-0.564727324	0.130846662	0.227668189	miRNA
URS0000726168_GR_chr16_67202312_67202395_84_-	-0.590600739	0.116721731	0.205196305	-0.70521646	0.046511263	0.105286689	precursor_RNA
URS000075CB46_GR_chr16_67202321_67202395_75_-	-0.590600739	0.116721731	0.205196305	NA	NA	NA	precursor_RNA
URS0000EFE30B_GR_chr16_67202326_67202388_63_-	-0.590600739	0.116721731	0.205196305	NA	NA	NA	precursor_RNA
URS0000416117_GR_chr11_76235513_76235587_75_+	0.848358169	0.118176244	0.207532083	0.524420824	0.421115433	0.543567438	tRNA
URS00000433C6_GR_chr1_629499_629570_72_-	-0.560471887	0.11935716	0.209160422	NA	NA	NA	tRNA
URS00000A75D2_GR_chr1_629499_629570_72_+	-0.560471887	0.11935716	0.209160422	-0.120767086	0.896519647	0.921845061	tRNA
URS0000384021_GR_chr7_100094002_100094023_22_-	-0.507214252	0.119560827	0.209294908	-0.381794828	0.220998771	0.33518147	miRNA
URS000075ABAA_GR_chr15_25080141_25080234_94_+	-0.840407394	0.1199347	0.209726745	NA	NA	NA	snoRNA
URS00002D40C8_GR_chr14_20684016_20684087_72_+	0.836768551	0.120147557	0.2098764	NA	NA	NA	tRNA
URS0000ABD85F_GR_chr3_52691378_52691444_67_+	0.489022723	0.12057621	0.210402296	NA	NA	NA	snoRNA
URS00002337B8_GR_chr1_629490_629570_81_-	-0.558869542	0.120903527	0.210548541	-0.031508875	0.958313245	0.96574203	tRNA
URS00006BC7F5_GR_chr15_25080142_25080233_92_+	-0.838616586	0.120915384	0.210548541	-1.09712209	0.157802636	0.259675223	snoRNA
URS00002CBE8B_GR_chr14_104117418_104117497_80_+	0.691906713	0.121471173	0.211060009	1.120575245	0.47191352	0.592332832	precursor_RNA
URS000075A5EE_GR_chr14_104117418_104117503_86_-	0.691906713	0.121471173	0.211060009	NA	NA	NA	precursor_RNA
URS000064E10F_GR_chr6_144216547_144216629_83_+	0.602425541	0.121593092	0.211060009	0.315382202	0.394450825	0.519789922	tRNA
URS00000BE495_GR_chr17_30117131_30117153_23_+	0.511521273	0.122423153	0.21227737	0.593411733	0.045772055	0.103871746	miRNA
URS00003E47B1_GR_chr3_188688794_188688815_22_+	-0.474866994	0.123286683	0.213356897	-0.26897717	0.3662205	0.489369538	miRNA
URS0000305D7E_GR_chr16_636735_636806_72_-	0.632936451	0.123304501	0.213356897	0.967875341	0.069516568	0.144759901	tRNA
hsa_piR_008113_DQ581032	-0.532567263	0.123541341	0.213507856	-0.057572383	0.900613745	0.925009602	piRNA
URS00006C8EDF_GR_chr12_124939966_124940037_72_+	-0.511665014	0.123650699	0.213507856	-1.641941216	0.029785229	0.07405617	tRNA
URS0000EFE66D_GR_chr7_130877466_130877530_65_-	0.520962427	0.123850688	0.213629481	0.224026923	0.540070458	0.65094585	precursor_RNA
URS0000EFE28C_GR_chr9_94175961_94176033_73_+	-0.531194697	0.124142935	0.21380436	-0.624705682	0.053407796	0.117963821	precursor_RNA
URS00001DF052_GR_chr9_94175956_94176037_82_+	-0.530595654	0.124447911	0.21380436	NA	NA	NA	precursor_RNA
URS00005EB5B7_GR_chr9_94175957_94176036_80_+	-0.530595654	0.124447911	0.21380436	NA	NA	NA	precursor_RNA
URS0000D56C46_GR_chr9_94175962_94176034_73_+	-0.530548121	0.124470701	0.21380436	0.19186439	0.475977606	0.594972008	misc_RNA
URS000075A82F_GR_chr15_25097662_25097755_94_+	0.672915938	0.124959728	0.21419812	NA	NA	NA	snoRNA
URS000071037B_GR_chr15_25097663_25097754_92_+	0.672915938	0.124959728	0.21419812	0.485966842	0.255732	0.373155278	snoRNA
URS0000237CBD_GR_chr12_62603747_62603768_22_+	-0.90707982	0.125433758	0.214756817	-0.977170208	0.093725594	0.178059062	miRNA
URS0000185C0B_GR_chr19_12706449_12706518_70_-	0.950719256	0.125652269	0.214756817	0.899970574	0.249609326	0.366735372	snoRNA
URS000038F4B2_GR_chr12_98504252_98504323_72_+	0.533505709	0.125871886	0.214756817	1.140812428	0.014313063	0.045225304	tRNA
URS0000EFEFA1_GR_chr1_207802450_207802512_63_-	0.511621982	0.126333013	0.214756817	NA	NA	NA	precursor_RNA
URS0000EFEA48_GR_chr22_46112751_46112820_70_+	-0.535047195	0.126461424	0.214756817	0.02455583	0.947688618	0.958651829	precursor_RNA
URS00004BC34C_GR_chr22_46112749_46112822_74_+	-0.534590698	0.126691209	0.214756817	0.161925724	0.553347184	0.66082144	precursor_RNA
URS0000150A7D_GR_chr7_130877459_130877539_81_-	0.518648057	0.126725694	0.214756817	NA	NA	NA	precursor_RNA
URS0000699FB5_GR_chr22_46112746_46112824_79_+	-0.534383481	0.126830313	0.214756817	NA	NA	NA	precursor_RNA
URS00003D8A8C_GR_chr7_130877465_130877535_71_-	0.518516878	0.126853321	0.214756817	NA	NA	NA	precursor_RNA
URS00004F9744_GR_chr7_100093571_100093592_22_-	-0.541594347	0.126964443	0.214756817	-0.607299908	0.095397496	0.178624942	miRNA
URS00000C85B2_GR_chr7_100093560_100093643_84_-	-0.541486786	0.126968081	0.214756817	-0.585580384	0.097971357	0.183004749	precursor_RNA
URS0000EFC8B7_GR_chr7_100093570_100093630_61_-	-0.541442052	0.12704086	0.214756817	-0.585631471	0.078845123	0.15838645	precursor_RNA
URS0000D4F78B_GR_chr12_62603747_62603767_21_+	-0.905925813	0.12719736	0.214756817	NA	NA	NA	miRNA
URS0000475C77_GR_chr11_122146520_122146595_76_-	-0.533179332	0.127358331	0.214756817	NA	NA	NA	precursor_RNA
URS00003F0B88_GR_chr11_122146522_122146593_72_-	-0.533174052	0.127365602	0.214756817	NA	NA	NA	precursor_RNA
URS0000EFEF97_GR_chr11_122146522_122146589_68_-	-0.533101265	0.127407326	0.214756817	-0.744885663	0.132880763	0.230766211	precursor_RNA
URS00002FF67B_GR_chr16_636731_636806_76_+	0.623852331	0.12749965	0.214756817	NA	NA	NA	tRNA
hsa_piR_001346_DQ571858	0.657472272	0.12817415	0.215672626	0.762648861	0.08540265	0.166416298	piRNA
URS000072632B_GR_chr10_98395218_98395307_90_-	-0.567412297	0.131797979	0.221544207	NA	NA	NA	precursor_RNA
URS00003841F3_GR_chr7_100094003_100094023_21_-	-0.490099081	0.132434337	0.222387191	NA	NA	NA	miRNA
URS0000EFCA69_GR_chr10_98395231_98395292_62_-	-0.563814491	0.133237364	0.223508049	-0.833564497	0.040130427	0.093637663	precursor_RNA
URS0000416056_GR_chr11_122146568_122146589_22_-	-0.540054954	0.134945242	0.226142992	NA	NA	NA	miRNA
URS000075AD75_GR_chr17_12081966_12081986_21_+	0.69148978	0.136481746	0.228485685	NA	NA	NA	miRNA
URS000020CEFD_GR_chr9_4850299_4850373_75_-	-0.469340197	0.138300922	0.230882818	NA	NA	NA	lncRNA
URS000058D5C7_GR_chr9_4850299_4850373_75_+	-0.469340197	0.138300922	0.230882818	-0.895118421	0.396204513	0.521020386	precursor_RNA
URS000075A0E6_GR_chr9_4850297_4850375_79_+	-0.469273974	0.138333671	0.230882818	NA	NA	NA	precursor_RNA
hsa_piR_020364_DQ597971	1.032539393	0.13932549	0.232303066	NA	NA	NA	piRNA
URS000003B38D_GR_chr6_26299676_26299748_73_+	0.653884404	0.140507872	0.23403786	NA	NA	NA	tRNA
URS000051BA34_GR_chr1_16514123_16514171_49_-	0.545075275	0.140673058	0.234076562	1.614912488	0.009426139	0.032865083	snRNA
URS00000FA8B2_GR_chr2_27050782_27050871_90_+	0.631016456	0.142871279	0.237494696	0.914894461	0.061138188	0.130600354	tRNA
URS00002B6904_GR_chr13_50049118_50049202_85_-	0.476343001	0.14392296	0.239001975	NA	NA	NA	precursor_RNA
URS0000EFC1FF_GR_chr9_4850307_4850366_60_+	-0.46181238	0.144175544	0.239180556	NA	NA	NA	precursor_RNA
URS0000171CD1_GR_chr13_50049119_50049201_83_-	0.475319326	0.144789999	0.239491728	NA	NA	NA	precursor_RNA
URS0000EFE1EB_GR_chr13_50049129_50049188_60_-	0.475371929	0.144826579	0.239491728	0.478797649	0.09494578	0.178624942	precursor_RNA
URS0000052456_GR_chr12_62603685_62603771_87_+	-0.466436125	0.144936998	0.239491728	-0.901659448	0.135520607	0.234455803	precursor_RNA
URS000075B982_GR_chr12_62603686_62603769_84_+	-0.466445416	0.144944054	0.239491728	NA	NA	NA	precursor_RNA
URS00004F0321_GR_chr1_146035692_146035763_72_+	0.758951965	0.14539739	0.240000297	0.838671555	0.120744315	0.212940555	tRNA
URS00000F11D1_GR_chrX_66018937_66018957_21_+	-0.570989668	0.145778092	0.240388074	NA	NA	NA	miRNA
URS0000632610_GR_chr6_31837076_31837142_67_+	0.672332515	0.1460818	0.24064824	0.82388878	0.083101099	0.164364639	snoRNA
URS0000D4EF33_GR_chr17_48579904_48579925_22_-	-0.735658684	0.146449012	0.241012396	NA	NA	NA	miRNA
URS0000370AC5_GR_chr1_65058434_65058508_75_-	-0.463112784	0.1473418	0.242038572	-1.839813197	0.002772402	0.013734137	precursor_RNA
URS0000EFDDC6_GR_chr1_65058440_65058499_60_-	-0.462988546	0.147434708	0.242038572	-1.118365341	0.007662996	0.028579207	precursor_RNA
URS0000EFC52F_GR_chr1_65058441_65058498_58_-	-0.463010866	0.147512896	0.242038572	NA	NA	NA	precursor_RNA
URS0000EFC8EF_GR_chr1_9151691_9151756_66_-	-0.471898465	0.148203089	0.242929319	-0.486873307	0.094149331	0.17849144	precursor_RNA
URS0000EFCE2E_GR_chrX_50009772_50009794_23_+	0.566733663	0.149781616	0.245179863	0.554511361	0.144009705	0.245409798	miRNA
URS00002C10B3_GR_chr19_51692618_51692639_22_+	0.477857755	0.14987344	0.245179863	0.522838767	0.06944608	0.144759901	miRNA
URS00000335D1_GR_chr19_3982507_3982572_66_-	0.797449093	0.150440615	0.245455319	0.597588662	0.369162642	0.491316315	snoRNA
URS0000EFD207_GR_chr19_51692617_51692677_61_+	0.476898431	0.150542393	0.245455319	0.152179482	0.599500725	0.701280228	precursor_RNA
URS000068AEF6_GR_chr19_51692611_51692683_73_+	0.476766174	0.150637224	0.245455319	NA	NA	NA	precursor_RNA
URS000075E904_GR_chr19_51692612_51692681_70_+	0.476766174	0.150637224	0.245455319	-0.342351569	0.399386676	0.52293795	precursor_RNA
URS00000F0F49_GR_chrX_134546680_134546701_22_-	0.675798699	0.151102782	0.245788771	NA	NA	NA	miRNA
URS0000EFEDDD_GR_chrX_50009734_50009794_61_+	0.553706047	0.151139972	0.245788771	NA	NA	NA	precursor_RNA
URS00004B4B85_GR_chrX_50003204_50003225_22_+	0.637944404	0.151472873	0.246087456	0.55968856	0.230213356	0.343996969	miRNA
URS00001646B5_GR_chr1_9151734_9151756_23_-	-0.468303944	0.152630223	0.247480077	NA	NA	NA	miRNA
URS0000267410_GR_chr1_9151734_9151756_23_+	-0.468303944	0.152630223	0.247480077	NA	NA	NA	miRNA
URS0000657EA4_GR_chrX_134169535_134169614_80_-	-0.470314153	0.153054124	0.247680324	NA	NA	NA	precursor_RNA
URS00002E728C_GR_chrX_134169538_134169612_75_-	-0.470314153	0.153054124	0.247680324	-1.128514645	0.005391795	0.022201507	precursor_RNA
URS0000EFEAAC_GR_chr12_62603690_62603767_78_+	-0.458252981	0.154747999	0.250175933	-0.557105379	0.09813881	0.183004749	precursor_RNA
URS0000EFE2B1_GR_chrX_134169543_134169604_62_-	-0.468735804	0.154966542	0.250283867	NA	NA	NA	precursor_RNA
URS0000EFCAB8_GR_chr17_48579864_48579925_62_-	-0.722231848	0.155465355	0.250843807	NA	NA	NA	precursor_RNA
URS000064F123_GR_chr1_9151680_9151769_90_-	-0.461912859	0.155945935	0.251373263	NA	NA	NA	precursor_RNA
URS00006D69C0_GR_chr6_26322818_26322890_73_+	0.653281766	0.156670781	0.252295037	NA	NA	NA	tRNA
URS000030BD69_GR_chr1_9151735_9151756_22_-	-0.477643442	0.157569056	0.253494023	NA	NA	NA	miRNA
URS000064C5B0_GR_chr7_5495819_5495917_99_-	0.525296949	0.159682997	0.25646239	NA	NA	NA	precursor_RNA
URS0000EFF188_GR_chr9_4850308_4850365_58_+	-0.444664249	0.159725212	0.25646239	NA	NA	NA	precursor_RNA
URS0000241987_GR_chr9_124692518_124692539_22_+	-0.426159841	0.159940565	0.256558358	-0.521295304	0.08298123	0.164364639	miRNA
URS000073124E_GR_chr2_71046358_71046430_73_-	0.811541068	0.160819957	0.25771828	NA	NA	NA	tRNA
hsa_piR_017716_DQ594453	0.883029086	0.161330411	0.25828529	NA	NA	NA	piRNA
URS0000EFEE66_GR_chr13_91351323_91351382_60_+	-0.464770422	0.162255456	0.259288172	NA	NA	NA	precursor_RNA
URS0000EFBC81_GR_chr7_5495833_5495894_62_-	0.522827434	0.162271312	0.259288172	0.494761042	0.297135155	0.418565001	precursor_RNA
URS00002F13BD_GR_chr6_31536374_31536449_76_-	0.616703042	0.162470669	0.259355404	0.565355676	0.212205242	0.325269871	snoRNA
URS00002130B2_GR_chr14_100884702_100884783_82_+	-0.659440745	0.163496835	0.260584432	NA	NA	NA	precursor_RNA
hsa_piR_009294_DQ582566	0.41559455	0.163556632	0.260584432	0.232298946	0.385906192	0.510428248	piRNA
URS000046CCFB_GR_chr17_28722582_28722653_72_+	0.569674965	0.163750216	0.260641028	0.513682776	0.250070455	0.366735372	snoRNA
URS000001388A_GR_chr6_85677294_85677368_75_-	0.498113395	0.165950129	0.263887911	1.026627777	0.022364243	0.060932519	snoRNA
URS00000CF1D2_GR_chrX_85903681_85903702_22_-	-0.464157369	0.167923927	0.266769321	NA	NA	NA	miRNA
URS0000EFC831_GR_chr1_172138815_172138878_64_-	-0.512163982	0.168489058	0.267409487	-0.431605358	0.235273462	0.350407284	precursor_RNA
URS00003768C5_GR_chr13_91351361_91351382_22_+	-0.46495552	0.169726719	0.269114768	-0.2289498	0.465579817	0.587625012	miRNA
URS000071D32B_GR_chrX_50009717_50009806_90_+	0.526236187	0.170812391	0.270316346	NA	NA	NA	precursor_RNA
URS000075D7AB_GR_chrX_50009722_50009805_84_+	0.526236187	0.170812391	0.270316346	0.322959677	0.620839291	0.719699051	precursor_RNA
URS000075D737_GR_chr1_65058442_65058463_22_-	-0.446163715	0.171330415	0.270876178	0.042470445	0.874981412	0.913726477	miRNA
URS00002C6949_GR_chrX_45747036_45747056_21_-	-0.49626124	0.173472961	0.274000875	NA	NA	NA	miRNA
URS00002BF476_GR_chr6_27209849_27209930_82_+	0.57023219	0.173912389	0.274196733	NA	NA	NA	tRNA
URS00004F5239_GR_chr1_248874248_248874318_71_+	0.779483432	0.173929523	0.274196733	NA	NA	NA	tRNA
URS00000F30A4_GR_chr14_20681690_20681762_73_+	0.435104521	0.178256389	0.28036715	0.769136735	0.2231644	0.337080425	tRNA
URS000075A57C_GR_chr19_50802325_50802421_97_-	0.648006913	0.178353633	0.28036715	NA	NA	NA	snoRNA
URS00006611EB_GR_chr19_50802328_50802418_91_-	0.648006913	0.178353633	0.28036715	0.605584658	0.207343772	0.320889172	snoRNA
URS000021601A_GR_chr17_48579906_48579926_21_-	-0.623373502	0.179484201	0.281875665	NA	NA	NA	miRNA
URS000075BC52_GR_chrX_134546614_134546711_98_-	0.628431342	0.180534614	0.282986292	NA	NA	NA	precursor_RNA
URS0000630758_GR_chrX_134546628_134546711_84_-	0.628431342	0.180534614	0.282986292	NA	NA	NA	precursor_RNA
URS0000EFDF99_GR_chrX_134546642_134546701_60_-	0.627188463	0.180928769	0.283334796	0.653048467	0.156641425	0.258231334	precursor_RNA
URS0000096022_GR_chr17_1713914_1713935_22_-	-0.593283888	0.181395998	0.283796964	-0.658181569	0.138373886	0.237585352	miRNA
URS000075CB76_GR_chr14_45110875_45110973_99_+	0.682570362	0.181974344	0.284162588	NA	NA	NA	snoRNA
URS000072E179_GR_chr14_45110883_45110968_86_+	0.682570362	0.181974344	0.284162588	0.817926917	0.152281667	0.254228102	snoRNA
URS0000EFE3A6_GR_chr14_100884715_100884771_57_+	-0.607610746	0.183872869	0.286855592	NA	NA	NA	precursor_RNA
URS00003A4D14_GR_chr17_1713903_1713987_85_-	-0.588334672	0.184589263	0.287701035	-0.671826708	0.128435354	0.223900712	precursor_RNA
URS0000EFCEE7_GR_chr17_1713913_1713973_61_-	-0.588114311	0.184791523	0.287744308	-0.223455875	0.558724382	0.666368529	precursor_RNA
URS0000EFE51C_GR_chr1_207802449_207802513_65_-	0.426979607	0.185934179	0.289250435	-0.231761926	0.542268798	0.651516426	precursor_RNA
URS000075DDE6_GR_chr1_172138808_172138888_81_+	-0.495364877	0.186389224	0.289685043	NA	NA	NA	precursor_RNA
URS00003266AE_GR_chr1_207802448_207802519_72_-	0.426840068	0.18674687	0.289894476	NA	NA	NA	precursor_RNA
URS00001E96DA_GR_chr1_207802443_207802523_81_-	0.426754286	0.186875578	0.289894476	NA	NA	NA	precursor_RNA
URS00002CA973_GR_chr6_26575570_26575660_91_+	-0.536159776	0.187874877	0.291170745	NA	NA	NA	tRNA
URS000049C11C_GR_chr17_8120925_8121012_88_+	0.65577658	0.188382478	0.291683292	2.985671147	0.07062137	0.146057833	tRNA
URS00006F5B12_GR_chr11_47726894_47726992_99_-	0.578680987	0.189102575	0.292339634	1.182380171	0.409147918	0.534342827	Y_RNA
URS00004C1179_GR_chr12_50456705_50456785_81_+	0.482168721	0.18916094	0.292339634	0.489560237	0.173650426	0.279684757	other
URS0000635088_GR_chr1_146035692_146035760_69_+	0.761703137	0.193255223	0.298387511	NA	NA	NA	tRNA
URS00002B6637_GR_chr13_91351314_91351391_78_+	-0.432710372	0.194093951	0.299402176	-0.640224787	0.045692585	0.103871746	precursor_RNA
URS000064BA0B_GR_chr17_2330276_2330370_95_-	0.465381169	0.194577225	0.299587155	0.405039997	0.26146623	0.378876225	snoRNA
URS000030BA79_GR_chr17_2330279_2330370_92_-	0.465381169	0.194577225	0.299587155	NA	NA	NA	snoRNA
hsa_piR_020365_DQ597975	-0.488881866	0.195888339	0.301163136	-1.458483686	0.002740666	0.013703331	piRNA
URS000013899F_GR_chr12_98503503_98503574_72_+	0.501339073	0.195966067	0.301163136	0.496754398	0.250266666	0.366735372	tRNA
URS0000EFBB09_GR_chrX_85903638_85903702_65_-	-0.424643893	0.198511156	0.304578631	-0.489912838	0.138144851	0.237585352	precursor_RNA
URS000064F901_GR_chrX_85903636_85903707_72_-	-0.424534757	0.198626481	0.304578631	NA	NA	NA	precursor_RNA
URS00002ED61F_GR_chr17_12081909_12081930_22_+	-0.434290069	0.198742636	0.304578631	-0.6770567	0.055245156	0.121139982	miRNA
URS0000EFE822_GR_chr17_48579863_48579926_64_-	-0.694583616	0.200471424	0.306942784	-0.616667659	0.254801487	0.372780311	precursor_RNA
URS00004CF258_GR_chr11_66348120_66348201_82_+	0.422799395	0.201288605	0.307908079	1.933591338	0.00165418	0.009678546	tRNA
URS00005C8991_GR_chr3_155661093_155661123_31_+	0.844638482	0.202656985	0.309344745	NA	NA	NA	piRNA
URS00004023EA_GR_chr12_62603691_62603712_22_+	-0.420646572	0.202731287	0.309344745	NA	NA	NA	miRNA
URS0000538196_GR_chr17_48579858_48579933_76_-	-0.690610586	0.202978177	0.309344745	0.019237419	0.970843683	0.976207461	precursor_RNA
URS00006CCC88_GR_chr17_48579859_48579934_76_+	-0.690610586	0.202978177	0.309344745	NA	NA	NA	precursor_RNA
URS00002CA973_GR_chr6_26568858_26568948_91_+	0.420599049	0.204833351	0.311883838	1.499782478	8.06E-04	0.006431005	tRNA
URS00005EA0AD_GR_chr1_161440826_161440896_71_-	0.431050801	0.205720624	0.312945857	NA	NA	NA	tRNA
hsa_piR_004153_DQ575660	0.837498119	0.20677909	0.314157307	NA	NA	NA	piRNA
URS000016D2D4_GR_chr17_48579904_48579926_23_-	-0.688495977	0.20689802	0.314157307	-0.738993202	0.264176232	0.382194549	miRNA
URS000071EB91_GR_chr11_123058909_123058995_87_-	0.727261892	0.207169731	0.314280485	0.43366552	0.582685651	0.686844485	snoRNA
URS0000287398_GR_chr1_16535279_16535350_72_-	0.514630291	0.208581569	0.31613144	NA	NA	NA	tRNA
URS0000636A63_GR_chr1_143792724_143792795_72_-	0.53963499	0.210423795	0.318630705	NA	NA	NA	tRNA
URS0000066733_GR_chr11_93731503_93731573_71_-	0.60411215	0.212873626	0.321862292	1.035341606	0.210121935	0.323538005	snoRNA
URS000011CFE8_GR_chr1_146035692_146035726_35_+	0.777177151	0.213066437	0.321862292	NA	NA	NA	misc_RNA
URS0000691595_GR_chr11_93731502_93731574_73_-	0.604169907	0.21314541	0.321862292	NA	NA	NA	snoRNA
URS000055DE1B_GR_chr17_48579905_48579926_22_-	-0.674052392	0.213338681	0.321862292	NA	NA	NA	miRNA
URS000070F968_GR_chrX_20136066_20136135_70_-	0.474798554	0.213691186	0.32209942	NA	NA	NA	snoRNA
URS000075D8A0_GR_chr5_160485352_160485450_99_+	0.466500735	0.214364931	0.322482626	NA	NA	NA	precursor_RNA
hsa_piR_016677_DQ592953	0.873652968	0.214581989	0.322482626	NA	NA	NA	piRNA
URS000065B202_GR_chr5_160485357_160485443_87_+	0.465912547	0.214684852	0.322482626	NA	NA	NA	precursor_RNA
URS0000EFDED6_GR_chr5_160485371_160485429_59_+	0.465833979	0.214727667	0.322482626	0.050930707	0.883386619	0.91605364	precursor_RNA
URS000050B527_GR_chr5_160485372_160485393_22_+	0.461881709	0.216498706	0.32459262	NA	NA	NA	miRNA
URS000011C781_GR_chr6_31837076_31837139_64_+	0.592945745	0.216651753	0.32459262	NA	NA	NA	snoRNA
URS0000EFF282_GR_chr19_51693267_51693327_61_+	-0.400709291	0.21672315	0.32459262	0.142193491	0.641176683	0.73857061	precursor_RNA
URS00004F859B_GR_chrX_134541364_134541385_22_-	-0.459945942	0.216948014	0.32463455	-0.518842828	0.145346882	0.247225538	miRNA
URS000063D7EB_GR_chr19_51693262_51693330_69_+	-0.400268592	0.217181724	0.32468963	NA	NA	NA	precursor_RNA
URS0000EFC77D_GR_chr19_46018960_46019021_62_+	0.410738926	0.217444708	0.324788336	0.506141103	0.156359058	0.258231334	precursor_RNA
URS00005A4DCF_GR_chr19_51693268_51693291_24_+	-0.399203638	0.218405434	0.325636156	-0.469241176	0.142019139	0.2424717	miRNA
URS00006428FD_GR_chr13_99536319_99536396_78_-	0.540558753	0.21840727	0.325636156	-0.03199321	0.948117194	0.958651829	Y_RNA
URS0000117290_GR_chr9_128244727_128244824_98_-	-0.426575588	0.220203303	0.328017386	NA	NA	NA	precursor_RNA
URS00004BB247_GR_chr18_49491664_49491729_66_-	0.422110911	0.221316668	0.329147385	0.367850643	0.327081245	0.450975656	snoRNA
URS0000EFD44C_GR_chr9_128244744_128244805_62_-	-0.425289206	0.221361098	0.329147385	-1.639849436	2.68E-04	0.003607357	precursor_RNA
URS000005BADB_GR_chr18_49491283_49491347_65_-	0.608588962	0.2221475	0.330019123	0.527231152	0.304169532	0.425183216	snoRNA
URS0000CAD556_GR_chr3_188688794_188688813_20_+	-0.389054629	0.222874501	0.330801127	NA	NA	NA	miRNA
URS000075E8FF_GR_chr1_26554542_26554593_52_+	0.516838447	0.223104462	0.330844656	NA	NA	NA	precursor_RNA
URS00001F9D6B_GR_chr5_160485372_160485394_23_+	0.450907231	0.223984032	0.331850555	1.947733644	0.040797687	0.094708917	miRNA
URS000075C227_GR_chr8_124821978_124822058_81_-	-0.689461469	0.226471559	0.334634051	NA	NA	NA	precursor_RNA
URS000075B8C2_GR_chr8_124821985_124822051_67_+	-0.689461469	0.226471559	0.334634051	NA	NA	NA	precursor_RNA
URS0000EFF403_GR_chr8_124821989_124822048_60_+	-0.689461469	0.226471559	0.334634051	-1.23896194	0.194825858	0.305675053	precursor_RNA
URS00001C3F54_GR_chr17_8138881_8138962_82_-	0.475837646	0.226901119	0.334968617	0.4268996	0.357412052	0.480420926	tRNA
hsa_piR_001042_DQ571335	0.606214281	0.227948393	0.336170731	0.777146019	0.115426075	0.20595633	piRNA
URS00007410E6_GR_chr1_121009544_121009615_72_-	0.544346858	0.228123134	0.336170731	NA	NA	NA	tRNA
URS00005FAA14_GR_chr17_12081966_12081987_22_+	0.545759039	0.229484504	0.337874953	0.594423448	0.223362084	0.337080425	miRNA
URS000075D261_GR_chr22_20033139_20033220_82_+	0.437081635	0.232409425	0.341267268	NA	NA	NA	precursor_RNA
URS0000729723_GR_chr22_20033140_20033220_81_+	0.437081635	0.232409425	0.341267268	NA	NA	NA	precursor_RNA
URS0000EFF2A0_GR_chr22_20033152_20033208_57_+	0.437081635	0.232409425	0.341267268	0.123523935	0.711795524	0.792819984	precursor_RNA
URS000051D597_GR_chr13_41060778_41060809_32_-	0.633879222	0.233076482	0.341942276	NA	NA	NA	misc_RNA
URS00006A65B9_GR_chr3_184325696_184325771_76_+	-0.493977053	0.236615304	0.346825454	-0.371466015	0.354103745	0.479433855	snoRNA
URS000075BD0D_GR_chr1_26554574_26554593_20_+	0.492452484	0.239011447	0.350026533	NA	NA	NA	miRNA
URS0000060C37_GR_chr19_13874725_13874745_21_+	-0.444577146	0.24201303	0.354107797	NA	NA	NA	miRNA
URS0000416117_GR_chr16_3191989_3192061_73_+	0.589032885	0.242647565	0.354721485	NA	NA	NA	tRNA
URS00004D4123_GR_chr19_13836449_13836467_19_-	0.419357966	0.24394423	0.356301182	NA	NA	NA	miRNA
URS00004795FC_GR_chr1_172144593_172144614_22_-	-0.42927503	0.244975166	0.357490309	NA	NA	NA	miRNA
URS00005140D0_GR_chr8_124821990_124822011_22_+	-0.664334093	0.246970025	0.360082734	-0.445788161	0.538569276	0.649997402	miRNA
URS00001012BC_GR_chrX_119646763_119646784_22_-	0.473058267	0.247417233	0.360416093	0.588139031	0.17442386	0.280434121	miRNA
URS0000EFEFF8_GR_chrX_119646762_119646820_59_-	0.469780852	0.24961017	0.363289648	NA	NA	NA	precursor_RNA
URS000031E6A1_GR_chrX_85903641_85903663_23_-	-0.413628298	0.250561595	0.364352796	NA	NA	NA	miRNA
hsa_piR_017178_DQ593744	0.619600967	0.253809271	0.36875021	NA	NA	NA	piRNA
